Instantaneous_power_reading(W),Minimum_during_sampling_period(W),Maximum_during_sampling_period(W),Average_power_reading_over_sample_period(W),Day_of_Week,Month,Day,Time,Year,Sampling_period,Power_reading_state_is,Time_elapsed
262,238,267,253,Sun,Nov,15,23:41:44,2020,00000004,activated,00000652
262,238,267,253,Sun,Nov,15,23:41:44,2020,00000004,activated,00000656
262,238,267,253,Sun,Nov,15,23:41:44,2020,00000004,activated,00000660
262,238,267,253,Sun,Nov,15,23:41:44,2020,00000004,activated,00000664
262,238,267,253,Sun,Nov,15,23:41:44,2020,00000004,activated,00000668
262,238,267,253,Sun,Nov,15,23:41:44,2020,00000004,activated,00000672
262,238,267,253,Sun,Nov,15,23:41:44,2020,00000004,activated,00000676
262,238,267,253,Sun,Nov,15,23:41:44,2020,00000004,activated,00000680
262,238,267,253,Sun,Nov,15,23:41:44,2020,00000004,activated,00000684
262,238,267,253,Sun,Nov,15,23:41:44,2020,00000004,activated,00000688
262,238,267,253,Sun,Nov,15,23:41:44,2020,00000004,activated,00000692
262,238,267,253,Sun,Nov,15,23:41:44,2020,00000004,activated,00000696
262,238,267,253,Sun,Nov,15,23:41:44,2020,00000004,activated,00000700
262,238,267,253,Sun,Nov,15,23:41:44,2020,00000004,activated,00000704
262,238,267,253,Sun,Nov,15,23:41:44,2020,00000004,activated,00000708
262,238,267,253,Sun,Nov,15,23:41:44,2020,00000004,activated,00000712
262,238,267,253,Sun,Nov,15,23:41:44,2020,00000004,activated,00000716
262,238,267,253,Sun,Nov,15,23:41:44,2020,00000004,activated,00000720
262,238,267,253,Sun,Nov,15,23:41:44,2020,00000004,activated,00000724
267,241,267,261,Sun,Nov,15,23:41:44,2020,00000004,activated,00000728
267,241,267,261,Sun,Nov,15,23:41:44,2020,00000004,activated,00000732
267,241,267,261,Sun,Nov,15,23:41:44,2020,00000004,activated,00000736
267,241,267,261,Sun,Nov,15,23:41:45,2020,00000004,activated,00000740
267,241,267,261,Sun,Nov,15,23:41:45,2020,00000004,activated,00000744
267,241,267,261,Sun,Nov,15,23:41:45,2020,00000004,activated,00000748
267,241,267,261,Sun,Nov,15,23:41:45,2020,00000004,activated,00000752
267,241,267,261,Sun,Nov,15,23:41:45,2020,00000004,activated,00000756
267,241,267,261,Sun,Nov,15,23:41:45,2020,00000004,activated,00000760
267,241,267,261,Sun,Nov,15,23:41:45,2020,00000004,activated,00000764
267,241,267,261,Sun,Nov,15,23:41:45,2020,00000004,activated,00000768
267,241,267,261,Sun,Nov,15,23:41:45,2020,00000004,activated,00000772
267,241,267,261,Sun,Nov,15,23:41:45,2020,00000004,activated,00000776
267,241,267,261,Sun,Nov,15,23:41:45,2020,00000004,activated,00000780
267,241,267,261,Sun,Nov,15,23:41:45,2020,00000004,activated,00000784
267,241,267,261,Sun,Nov,15,23:41:45,2020,00000004,activated,00000788
267,241,267,261,Sun,Nov,15,23:41:45,2020,00000004,activated,00000792
267,241,267,261,Sun,Nov,15,23:41:45,2020,00000004,activated,00000796
267,241,267,261,Sun,Nov,15,23:41:45,2020,00000004,activated,00000800
267,241,267,261,Sun,Nov,15,23:41:45,2020,00000004,activated,00000804
267,241,267,261,Sun,Nov,15,23:41:45,2020,00000004,activated,00000808
267,241,267,261,Sun,Nov,15,23:41:45,2020,00000004,activated,00000812
267,241,267,261,Sun,Nov,15,23:41:45,2020,00000004,activated,00000816
267,241,267,261,Sun,Nov,15,23:41:45,2020,00000004,activated,00000820
267,241,267,261,Sun,Nov,15,23:41:45,2020,00000004,activated,00000824
267,241,267,261,Sun,Nov,15,23:41:45,2020,00000004,activated,00000828
267,241,267,261,Sun,Nov,15,23:41:46,2020,00000004,activated,00000832
267,241,267,261,Sun,Nov,15,23:41:46,2020,00000004,activated,00000836
267,241,267,261,Sun,Nov,15,23:41:46,2020,00000004,activated,00000840
267,241,267,261,Sun,Nov,15,23:41:46,2020,00000004,activated,00000844
267,241,267,261,Sun,Nov,15,23:41:46,2020,00000004,activated,00000848
267,241,267,261,Sun,Nov,15,23:41:46,2020,00000004,activated,00000852
267,241,267,261,Sun,Nov,15,23:41:46,2020,00000004,activated,00000856
267,241,267,261,Sun,Nov,15,23:41:46,2020,00000004,activated,00000860
267,241,267,261,Sun,Nov,15,23:41:46,2020,00000004,activated,00000864
267,241,267,261,Sun,Nov,15,23:41:46,2020,00000004,activated,00000868
267,241,267,261,Sun,Nov,15,23:41:46,2020,00000004,activated,00000872
267,241,267,261,Sun,Nov,15,23:41:46,2020,00000004,activated,00000876
267,241,267,261,Sun,Nov,15,23:41:46,2020,00000004,activated,00000880
267,241,267,261,Sun,Nov,15,23:41:46,2020,00000004,activated,00000884
267,241,267,261,Sun,Nov,15,23:41:46,2020,00000004,activated,00000888
267,241,267,261,Sun,Nov,15,23:41:46,2020,00000004,activated,00000892
267,241,267,261,Sun,Nov,15,23:41:46,2020,00000004,activated,00000896
267,241,267,261,Sun,Nov,15,23:41:46,2020,00000004,activated,00000900
267,241,267,261,Sun,Nov,15,23:41:46,2020,00000004,activated,00000904
267,241,267,261,Sun,Nov,15,23:41:46,2020,00000004,activated,00000908
267,241,267,261,Sun,Nov,15,23:41:46,2020,00000004,activated,00000912
267,241,267,261,Sun,Nov,15,23:41:46,2020,00000004,activated,00000916
267,241,267,261,Sun,Nov,15,23:41:46,2020,00000004,activated,00000920
267,241,267,261,Sun,Nov,15,23:41:46,2020,00000004,activated,00000924
267,241,267,261,Sun,Nov,15,23:41:46,2020,00000004,activated,00000928
267,241,267,261,Sun,Nov,15,23:41:47,2020,00000004,activated,00000932
267,241,267,261,Sun,Nov,15,23:41:47,2020,00000004,activated,00000936
267,241,267,261,Sun,Nov,15,23:41:47,2020,00000004,activated,00000940
267,241,267,261,Sun,Nov,15,23:41:47,2020,00000004,activated,00000944
267,241,267,261,Sun,Nov,15,23:41:47,2020,00000004,activated,00000948
267,241,267,261,Sun,Nov,15,23:41:47,2020,00000004,activated,00000952
267,241,267,261,Sun,Nov,15,23:41:47,2020,00000004,activated,00000956
267,241,267,261,Sun,Nov,15,23:41:47,2020,00000004,activated,00000960
267,241,267,261,Sun,Nov,15,23:41:47,2020,00000004,activated,00000964
267,241,267,261,Sun,Nov,15,23:41:47,2020,00000004,activated,00000968
267,241,267,261,Sun,Nov,15,23:41:47,2020,00000004,activated,00000972
267,241,267,261,Sun,Nov,15,23:41:47,2020,00000004,activated,00000976
267,241,267,261,Sun,Nov,15,23:41:47,2020,00000004,activated,00000980
267,241,267,261,Sun,Nov,15,23:41:47,2020,00000004,activated,00000984
267,241,267,261,Sun,Nov,15,23:41:47,2020,00000004,activated,00000988
267,241,267,261,Sun,Nov,15,23:41:47,2020,00000004,activated,00000992
267,241,267,261,Sun,Nov,15,23:41:47,2020,00000004,activated,00000996
267,241,267,261,Sun,Nov,15,23:41:47,2020,00000004,activated,00001000
267,241,267,261,Sun,Nov,15,23:41:47,2020,00000004,activated,00001004
267,241,267,261,Sun,Nov,15,23:41:47,2020,00000004,activated,00001008
267,241,267,261,Sun,Nov,15,23:41:47,2020,00000004,activated,00001012
267,241,267,261,Sun,Nov,15,23:41:47,2020,00000004,activated,00001016
267,241,267,261,Sun,Nov,15,23:41:47,2020,00000004,activated,00001020
267,241,267,261,Sun,Nov,15,23:41:47,2020,00000004,activated,00001024
267,241,267,261,Sun,Nov,15,23:41:48,2020,00000004,activated,00001028
